,dt,City,Country,AverageTemperature
54749,2000-02-01,Chicago,United States,4.083
54750,2000-03-01,Chicago,United States,8.274000000000001
54751,2000-04-01,Chicago,United States,7.615
54752,2000-05-01,Chicago,United States,13.867
54753,2000-06-01,Chicago,United States,17.939
54754,2000-07-01,Chicago,United States,21.087
54755,2000-08-01,Chicago,United States,22.84
54756,2000-09-01,Chicago,United States,19.061
54757,2000-10-01,Chicago,United States,15.11
54758,2000-11-01,Chicago,United States,6.824
54759,2000-12-01,Chicago,United States,-3.761000000000001
54760,2001-01-01,Chicago,United States,0.5980000000000003
54761,2001-02-01,Chicago,United States,0.4370000000000001
54762,2001-03-01,Chicago,United States,2.763
54763,2001-04-01,Chicago,United States,10.273
54764,2001-05-01,Chicago,United States,13.508
54765,2001-06-01,Chicago,United States,17.654
54766,2001-07-01,Chicago,United States,22.660999999999998
54767,2001-08-01,Chicago,United States,23.986
54768,2001-09-01,Chicago,United States,18.088
54769,2001-10-01,Chicago,United States,13.081
54770,2001-11-01,Chicago,United States,11.986999999999998
54771,2001-12-01,Chicago,United States,5.401
54772,2002-01-01,Chicago,United States,4.029999999999999
54773,2002-02-01,Chicago,United States,3.846000000000001
54774,2002-03-01,Chicago,United States,2.565
54775,2002-04-01,Chicago,United States,8.547
54776,2002-05-01,Chicago,United States,10.305
54777,2002-06-01,Chicago,United States,19.011
54778,2002-07-01,Chicago,United States,24.428
54779,2002-08-01,Chicago,United States,23.611
54780,2002-09-01,Chicago,United States,21.039
54781,2002-10-01,Chicago,United States,11.651
54782,2002-11-01,Chicago,United States,6.517
54783,2002-12-01,Chicago,United States,2.835
54784,2003-01-01,Chicago,United States,-1.7990000000000002
54785,2003-02-01,Chicago,United States,-1.544
54786,2003-03-01,Chicago,United States,3.976
54787,2003-04-01,Chicago,United States,7.6179999999999986
54788,2003-05-01,Chicago,United States,10.950999999999999
54789,2003-06-01,Chicago,United States,16.468
54790,2003-07-01,Chicago,United States,21.665
54791,2003-08-01,Chicago,United States,24.035
54792,2003-09-01,Chicago,United States,18.99
54793,2003-10-01,Chicago,United States,12.694
54794,2003-11-01,Chicago,United States,8.571
54795,2003-12-01,Chicago,United States,4.154
54796,2004-01-01,Chicago,United States,-2.383
54797,2004-02-01,Chicago,United States,1.007
54798,2004-03-01,Chicago,United States,6.698
54799,2004-04-01,Chicago,United States,8.927999999999997
54800,2004-05-01,Chicago,United States,12.624
54801,2004-06-01,Chicago,United States,16.916
54802,2004-07-01,Chicago,United States,21.188
54803,2004-08-01,Chicago,United States,20.514
54804,2004-09-01,Chicago,United States,20.675
54805,2004-10-01,Chicago,United States,13.769
54806,2004-11-01,Chicago,United States,9.228
54807,2004-12-01,Chicago,United States,2.157
54808,2005-01-01,Chicago,United States,-0.16700000000000004
54809,2005-02-01,Chicago,United States,3.234
54810,2005-03-01,Chicago,United States,2.636
54811,2005-04-01,Chicago,United States,9.797
54812,2005-05-01,Chicago,United States,11.109000000000002
54813,2005-06-01,Chicago,United States,21.002
54814,2005-07-01,Chicago,United States,22.988000000000003
54815,2005-08-01,Chicago,United States,23.959
54816,2005-09-01,Chicago,United States,21.848000000000006
54817,2005-10-01,Chicago,United States,14.216
54818,2005-11-01,Chicago,United States,8.530999999999999
54819,2005-12-01,Chicago,United States,-0.1469999999999998
54820,2006-01-01,Chicago,United States,6.0429999999999975
54821,2006-02-01,Chicago,United States,1.1
54822,2006-03-01,Chicago,United States,4.726
54823,2006-04-01,Chicago,United States,10.154
54824,2006-05-01,Chicago,United States,12.28
54825,2006-06-01,Chicago,United States,17.519000000000002
54826,2006-07-01,Chicago,United States,23.469
54827,2006-08-01,Chicago,United States,23.561
54828,2006-09-01,Chicago,United States,18.159
54829,2006-10-01,Chicago,United States,11.245999999999999
54830,2006-11-01,Chicago,United States,9.057
54831,2006-12-01,Chicago,United States,5.1320000000000014
54832,2007-01-01,Chicago,United States,2.374
54833,2007-02-01,Chicago,United States,-3.8360000000000003
54834,2007-03-01,Chicago,United States,6.881
54835,2007-04-01,Chicago,United States,7.0230000000000015
54836,2007-05-01,Chicago,United States,14.244000000000002
54837,2007-06-01,Chicago,United States,19.087
54838,2007-07-01,Chicago,United States,21.828000000000007
54839,2007-08-01,Chicago,United States,23.823
54840,2007-09-01,Chicago,United States,20.679
54841,2007-10-01,Chicago,United States,16.529
54842,2007-11-01,Chicago,United States,7.221999999999999
54843,2007-12-01,Chicago,United States,1.526
54844,2008-01-01,Chicago,United States,0.3320000000000001
54845,2008-02-01,Chicago,United States,-1.709
54846,2008-03-01,Chicago,United States,2.478
54847,2008-04-01,Chicago,United States,8.844000000000003
54848,2008-05-01,Chicago,United States,10.559
54849,2008-06-01,Chicago,United States,18.324
54850,2008-07-01,Chicago,United States,22.021
54851,2008-08-01,Chicago,United States,22.574
54852,2008-09-01,Chicago,United States,20.134
54853,2008-10-01,Chicago,United States,12.873
54854,2008-11-01,Chicago,United States,7.143
54855,2008-12-01,Chicago,United States,-0.6640000000000001
54856,2009-01-01,Chicago,United States,-4.2989999999999995
54857,2009-02-01,Chicago,United States,1.454
54858,2009-03-01,Chicago,United States,4.808
54859,2009-04-01,Chicago,United States,7.622999999999998
54860,2009-05-01,Chicago,United States,12.627
54861,2009-06-01,Chicago,United States,17.305
54862,2009-07-01,Chicago,United States,19.792
54863,2009-08-01,Chicago,United States,21.724
54864,2009-09-01,Chicago,United States,19.502
54865,2009-10-01,Chicago,United States,11.22
54866,2009-11-01,Chicago,United States,10.261
54867,2009-12-01,Chicago,United States,1.5630000000000002
54868,2010-01-01,Chicago,United States,-0.5949999999999999
54869,2010-02-01,Chicago,United States,0.7709999999999999
54870,2010-03-01,Chicago,United States,6.489
54871,2010-04-01,Chicago,United States,10.935
54872,2010-05-01,Chicago,United States,13.802999999999999
54873,2010-06-01,Chicago,United States,19.055
54874,2010-07-01,Chicago,United States,24.105999999999998
54875,2010-08-01,Chicago,United States,24.948
54876,2010-09-01,Chicago,United States,19.229
54877,2010-10-01,Chicago,United States,14.582
54878,2010-11-01,Chicago,United States,8.539
54879,2010-12-01,Chicago,United States,-0.07099999999999995
54880,2011-01-01,Chicago,United States,-1.5819999999999999
54881,2011-02-01,Chicago,United States,0.276
54882,2011-03-01,Chicago,United States,3.474
54883,2011-04-01,Chicago,United States,7.382999999999999
54884,2011-05-01,Chicago,United States,12.133
54885,2011-06-01,Chicago,United States,18.011
54886,2011-07-01,Chicago,United States,24.412
54887,2011-08-01,Chicago,United States,23.414
54888,2011-09-01,Chicago,United States,18.331
54889,2011-10-01,Chicago,United States,13.837
54890,2011-11-01,Chicago,United States,9.555
54891,2011-12-01,Chicago,United States,5.327000000000001
54892,2012-01-01,Chicago,United States,2.6700000000000004
54893,2012-02-01,Chicago,United States,3.698
54894,2012-03-01,Chicago,United States,12.145
54895,2012-04-01,Chicago,United States,8.383000000000001
54896,2012-05-01,Chicago,United States,14.956
54897,2012-06-01,Chicago,United States,19.532
54898,2012-07-01,Chicago,United States,25.909
54899,2012-08-01,Chicago,United States,22.778000000000002
54900,2012-09-01,Chicago,United States,18.693
54901,2012-10-01,Chicago,United States,12.229
54902,2012-11-01,Chicago,United States,7.27
54903,2012-12-01,Chicago,United States,5.5920000000000005
54904,2013-01-01,Chicago,United States,1.056
54905,2013-02-01,Chicago,United States,-0.509
54906,2013-03-01,Chicago,United States,1.3230000000000002
54907,2013-04-01,Chicago,United States,6.644
54908,2013-05-01,Chicago,United States,13.734000000000002
54909,2013-06-01,Chicago,United States,17.913
54910,2013-07-01,Chicago,United States,21.914
54911,2013-08-01,Chicago,United States,22.23
54912,2013-09-01,Chicago,United States,19.977
133659,2000-02-01,Los Angeles,United States,10.262
133660,2000-03-01,Los Angeles,United States,12.335
133661,2000-04-01,Los Angeles,United States,15.684
133662,2000-05-01,Los Angeles,United States,19.073
133663,2000-06-01,Los Angeles,United States,22.524
133664,2000-07-01,Los Angeles,United States,23.573
133665,2000-08-01,Los Angeles,United States,25.053
133666,2000-09-01,Los Angeles,United States,21.951
133667,2000-10-01,Los Angeles,United States,15.903
133668,2000-11-01,Los Angeles,United States,10.97
133669,2000-12-01,Los Angeles,United States,11.62
133670,2001-01-01,Los Angeles,United States,8.398
133671,2001-02-01,Los Angeles,United States,8.477
133672,2001-03-01,Los Angeles,United States,13.284
133673,2001-04-01,Los Angeles,United States,12.61
133674,2001-05-01,Los Angeles,United States,20.430999999999997
133675,2001-06-01,Los Angeles,United States,22.561
133676,2001-07-01,Los Angeles,United States,23.242
133677,2001-08-01,Los Angeles,United States,24.774
133678,2001-09-01,Los Angeles,United States,22.663
133679,2001-10-01,Los Angeles,United States,18.867
133680,2001-11-01,Los Angeles,United States,13.474
133681,2001-12-01,Los Angeles,United States,8.814
133682,2002-01-01,Los Angeles,United States,9.022
133683,2002-02-01,Los Angeles,United States,12.181
133684,2002-03-01,Los Angeles,United States,11.748
133685,2002-04-01,Los Angeles,United States,14.147
133686,2002-05-01,Los Angeles,United States,17.151999999999994
133687,2002-06-01,Los Angeles,United States,21.497
133688,2002-07-01,Los Angeles,United States,24.784
133689,2002-08-01,Los Angeles,United States,23.666
133690,2002-09-01,Los Angeles,United States,23.122
133691,2002-10-01,Los Angeles,United States,16.111
133692,2002-11-01,Los Angeles,United States,14.662
133693,2002-12-01,Los Angeles,United States,9.071
133694,2003-01-01,Los Angeles,United States,13.492
133695,2003-02-01,Los Angeles,United States,10.117
133696,2003-03-01,Los Angeles,United States,13.295
133697,2003-04-01,Los Angeles,United States,11.777999999999999
133698,2003-05-01,Los Angeles,United States,17.436999999999998
133699,2003-06-01,Los Angeles,United States,20.554
133700,2003-07-01,Los Angeles,United States,26.221999999999998
133701,2003-08-01,Los Angeles,United States,25.593000000000004
133702,2003-09-01,Los Angeles,United States,23.8
133703,2003-10-01,Los Angeles,United States,20.549
133704,2003-11-01,Los Angeles,United States,11.117
133705,2003-12-01,Los Angeles,United States,9.382
133706,2004-01-01,Los Angeles,United States,9.588
133707,2004-02-01,Los Angeles,United States,9.131
133708,2004-03-01,Los Angeles,United States,16.214000000000002
133709,2004-04-01,Los Angeles,United States,15.78
133710,2004-05-01,Los Angeles,United States,18.805
133711,2004-06-01,Los Angeles,United States,21.176
133712,2004-07-01,Los Angeles,United States,24.514
133713,2004-08-01,Los Angeles,United States,23.95000000000001
133714,2004-09-01,Los Angeles,United States,22.644
133715,2004-10-01,Los Angeles,United States,15.98
133716,2004-11-01,Los Angeles,United States,11.019
133717,2004-12-01,Los Angeles,United States,9.833
133718,2005-01-01,Los Angeles,United States,9.87
133719,2005-02-01,Los Angeles,United States,10.609000000000002
133720,2005-03-01,Los Angeles,United States,12.568
133721,2005-04-01,Los Angeles,United States,13.724
133722,2005-05-01,Los Angeles,United States,18.048
133723,2005-06-01,Los Angeles,United States,19.417
133724,2005-07-01,Los Angeles,United States,25.676
133725,2005-08-01,Los Angeles,United States,24.71
133726,2005-09-01,Los Angeles,United States,20.165
133727,2005-10-01,Los Angeles,United States,16.959
133728,2005-11-01,Los Angeles,United States,14.585
133729,2005-12-01,Los Angeles,United States,10.845999999999998
133730,2006-01-01,Los Angeles,United States,9.846
133731,2006-02-01,Los Angeles,United States,11.787
133732,2006-03-01,Los Angeles,United States,8.861999999999998
133733,2006-04-01,Los Angeles,United States,12.352
133734,2006-05-01,Los Angeles,United States,18.585
133735,2006-06-01,Los Angeles,United States,23.596
133736,2006-07-01,Los Angeles,United States,27.336
133737,2006-08-01,Los Angeles,United States,23.75
133738,2006-09-01,Los Angeles,United States,22.201
133739,2006-10-01,Los Angeles,United States,16.433
133740,2006-11-01,Los Angeles,United States,14.687
133741,2006-12-01,Los Angeles,United States,10.042
133742,2007-01-01,Los Angeles,United States,8.391
133743,2007-02-01,Los Angeles,United States,10.897
133744,2007-03-01,Los Angeles,United States,14.809
133745,2007-04-01,Los Angeles,United States,14.889
133746,2007-05-01,Los Angeles,United States,18.107
133747,2007-06-01,Los Angeles,United States,21.846
133748,2007-07-01,Los Angeles,United States,25.265
133749,2007-08-01,Los Angeles,United States,25.406
133750,2007-09-01,Los Angeles,United States,20.896
133751,2007-10-01,Los Angeles,United States,17.295
133752,2007-11-01,Los Angeles,United States,14.4
133753,2007-12-01,Los Angeles,United States,8.198
133754,2008-01-01,Los Angeles,United States,8.196
133755,2008-02-01,Los Angeles,United States,10.489
133756,2008-03-01,Los Angeles,United States,13.466
133757,2008-04-01,Los Angeles,United States,14.927999999999999
133758,2008-05-01,Los Angeles,United States,17.134999999999998
133759,2008-06-01,Los Angeles,United States,23.12
133760,2008-07-01,Los Angeles,United States,25.032
133761,2008-08-01,Los Angeles,United States,25.23200000000001
133762,2008-09-01,Los Angeles,United States,23.37
133763,2008-10-01,Los Angeles,United States,19.398
133764,2008-11-01,Los Angeles,United States,15.323
133765,2008-12-01,Los Angeles,United States,8.488
133766,2009-01-01,Los Angeles,United States,11.882
133767,2009-02-01,Los Angeles,United States,9.635
133768,2009-03-01,Los Angeles,United States,11.995999999999999
133769,2009-04-01,Los Angeles,United States,13.968
133770,2009-05-01,Los Angeles,United States,20.035
133771,2009-06-01,Los Angeles,United States,19.307
133772,2009-07-01,Los Angeles,United States,25.717
133773,2009-08-01,Los Angeles,United States,24.384
133774,2009-09-01,Los Angeles,United States,24.265
133775,2009-10-01,Los Angeles,United States,16.637999999999998
133776,2009-11-01,Los Angeles,United States,13.778
133777,2009-12-01,Los Angeles,United States,8.519
133778,2010-01-01,Los Angeles,United States,10.09
133779,2010-02-01,Los Angeles,United States,10.353
133780,2010-03-01,Los Angeles,United States,12.437
133781,2010-04-01,Los Angeles,United States,12.283
133782,2010-05-01,Los Angeles,United States,15.895
133783,2010-06-01,Los Angeles,United States,20.724
133784,2010-07-01,Los Angeles,United States,23.636
133785,2010-08-01,Los Angeles,United States,23.545
133786,2010-09-01,Los Angeles,United States,22.42
133787,2010-10-01,Los Angeles,United States,16.91
133788,2010-11-01,Los Angeles,United States,12.114
133789,2010-12-01,Los Angeles,United States,10.237
133790,2011-01-01,Los Angeles,United States,10.432
133791,2011-02-01,Los Angeles,United States,8.759
133792,2011-03-01,Los Angeles,United States,11.985
133793,2011-04-01,Los Angeles,United States,14.217
133794,2011-05-01,Los Angeles,United States,15.729
133795,2011-06-01,Los Angeles,United States,19.339
133796,2011-07-01,Los Angeles,United States,23.987
133797,2011-08-01,Los Angeles,United States,24.567
133798,2011-09-01,Los Angeles,United States,22.728
133799,2011-10-01,Los Angeles,United States,18.244
133800,2011-11-01,Los Angeles,United States,11.643
133801,2011-12-01,Los Angeles,United States,8.867999999999997
133802,2012-01-01,Los Angeles,United States,11.581
133803,2012-02-01,Los Angeles,United States,10.609000000000002
133804,2012-03-01,Los Angeles,United States,11.575999999999999
133805,2012-04-01,Los Angeles,United States,14.751
133806,2012-05-01,Los Angeles,United States,18.677
133807,2012-06-01,Los Angeles,United States,21.066
133808,2012-07-01,Los Angeles,United States,23.851
133809,2012-08-01,Los Angeles,United States,26.892000000000003
133810,2012-09-01,Los Angeles,United States,24.745
133811,2012-10-01,Los Angeles,United States,18.712
133812,2012-11-01,Los Angeles,United States,13.903
133813,2012-12-01,Los Angeles,United States,8.712
133814,2013-01-01,Los Angeles,United States,8.812999999999997
133815,2013-02-01,Los Angeles,United States,9.804
133816,2013-03-01,Los Angeles,United States,14.463
133817,2013-04-01,Los Angeles,United States,15.921
133818,2013-05-01,Los Angeles,United States,19.028
133819,2013-06-01,Los Angeles,United States,22.434
133820,2013-07-01,Los Angeles,United States,25.09
133821,2013-08-01,Los Angeles,United States,24.23200000000001
133822,2013-09-01,Los Angeles,United States,23.301
172844,2000-02-01,New York,United States,-0.16199999999999992
172845,2000-03-01,New York,United States,6.391
172846,2000-04-01,New York,United States,8.897
172847,2000-05-01,New York,United States,15.944
172848,2000-06-01,New York,United States,20.234
172849,2000-07-01,New York,United States,20.727
172850,2000-08-01,New York,United States,20.791
172851,2000-09-01,New York,United States,17.095
172852,2000-10-01,New York,United States,11.323
172853,2000-11-01,New York,United States,4.913
172854,2000-12-01,New York,United States,-3.3560000000000003
172855,2001-01-01,New York,United States,-2.814
172856,2001-02-01,New York,United States,-0.442
172857,2001-03-01,New York,United States,1.884
172858,2001-04-01,New York,United States,9.92
172859,2001-05-01,New York,United States,16.014
172860,2001-06-01,New York,United States,20.907
172861,2001-07-01,New York,United States,21.045
172862,2001-08-01,New York,United States,23.507
172863,2001-09-01,New York,United States,17.473999999999997
172864,2001-10-01,New York,United States,11.989999999999998
172865,2001-11-01,New York,United States,8.212
172866,2001-12-01,New York,United States,3.4750000000000005
172867,2002-01-01,New York,United States,1.2520000000000002
172868,2002-02-01,New York,United States,2.1260000000000003
172869,2002-03-01,New York,United States,4.677
172870,2002-04-01,New York,United States,11.125
172871,2002-05-01,New York,United States,14.171
172872,2002-06-01,New York,United States,20.623
172873,2002-07-01,New York,United States,23.931
172874,2002-08-01,New York,United States,23.558000000000003
172875,2002-09-01,New York,United States,19.125
172876,2002-10-01,New York,United States,10.446
172877,2002-11-01,New York,United States,4.945
172878,2002-12-01,New York,United States,-0.953
172879,2003-01-01,New York,United States,-5.223
172880,2003-02-01,New York,United States,-3.786
172881,2003-03-01,New York,United States,3.526
172882,2003-04-01,New York,United States,8.185
172883,2003-05-01,New York,United States,13.817
172884,2003-06-01,New York,United States,18.96
172885,2003-07-01,New York,United States,22.864
172886,2003-08-01,New York,United States,23.243000000000002
172887,2003-09-01,New York,United States,18.262
172888,2003-10-01,New York,United States,10.201999999999998
172889,2003-11-01,New York,United States,7.603
172890,2003-12-01,New York,United States,0.3790000000000001
172891,2004-01-01,New York,United States,-6.3249999999999975
172892,2004-02-01,New York,United States,-1.332
172893,2004-03-01,New York,United States,4.525
172894,2004-04-01,New York,United States,10.057
172895,2004-05-01,New York,United States,17.8
172896,2004-06-01,New York,United States,19.761
172897,2004-07-01,New York,United States,21.946
172898,2004-08-01,New York,United States,21.771
172899,2004-09-01,New York,United States,18.843
172900,2004-10-01,New York,United States,10.96
172901,2004-11-01,New York,United States,6.682
172902,2004-12-01,New York,United States,-0.014000000000000012
172903,2005-01-01,New York,United States,-3.611
172904,2005-02-01,New York,United States,-0.6090000000000002
172905,2005-03-01,New York,United States,1.125
172906,2005-04-01,New York,United States,10.633
172907,2005-05-01,New York,United States,13.267000000000001
172908,2005-06-01,New York,United States,22.169
172909,2005-07-01,New York,United States,23.704
172910,2005-08-01,New York,United States,23.941
172911,2005-09-01,New York,United States,20.238
172912,2005-10-01,New York,United States,12.058
172913,2005-11-01,New York,United States,7.019
172914,2005-12-01,New York,United States,-1.757
172915,2006-01-01,New York,United States,1.608
172916,2006-02-01,New York,United States,-0.5650000000000002
172917,2006-03-01,New York,United States,3.776
172918,2006-04-01,New York,United States,10.709
172919,2006-05-01,New York,United States,15.637
172920,2006-06-01,New York,United States,20.445
172921,2006-07-01,New York,United States,24.165
172922,2006-08-01,New York,United States,22.42
172923,2006-09-01,New York,United States,16.945999999999998
172924,2006-10-01,New York,United States,10.811
172925,2006-11-01,New York,United States,8.418
172926,2006-12-01,New York,United States,3.8610000000000007
172927,2007-01-01,New York,United States,0.4119999999999999
172928,2007-02-01,New York,United States,-4.713
172929,2007-03-01,New York,United States,2.947
172930,2007-04-01,New York,United States,8.02
172931,2007-05-01,New York,United States,16.677
172932,2007-06-01,New York,United States,20.868
172933,2007-07-01,New York,United States,22.295
172934,2007-08-01,New York,United States,22.063
172935,2007-09-01,New York,United States,19.0
172936,2007-10-01,New York,United States,15.222
172937,2007-11-01,New York,United States,4.831
172938,2007-12-01,New York,United States,-0.09399999999999996
172939,2008-01-01,New York,United States,-0.573
172940,2008-02-01,New York,United States,-0.675
172941,2008-03-01,New York,United States,3.47
172942,2008-04-01,New York,United States,10.943
172943,2008-05-01,New York,United States,13.64
172944,2008-06-01,New York,United States,21.831
172945,2008-07-01,New York,United States,23.693
172946,2008-08-01,New York,United States,20.887
172947,2008-09-01,New York,United States,18.676
172948,2008-10-01,New York,United States,10.347999999999999
172949,2008-11-01,New York,United States,5.132999999999999
172950,2008-12-01,New York,United States,0.3270000000000001
172951,2009-01-01,New York,United States,-5.359999999999999
172952,2009-02-01,New York,United States,-0.3719999999999999
172953,2009-03-01,New York,United States,3.5789999999999997
172954,2009-04-01,New York,United States,10.478
172955,2009-05-01,New York,United States,15.447000000000001
172956,2009-06-01,New York,United States,19.058
172957,2009-07-01,New York,United States,21.103
172958,2009-08-01,New York,United States,22.769
172959,2009-09-01,New York,United States,17.043
172960,2009-10-01,New York,United States,10.364
172961,2009-11-01,New York,United States,8.217
172962,2009-12-01,New York,United States,-0.6239999999999999
172963,2010-01-01,New York,United States,-2.359
172964,2010-02-01,New York,United States,-1.456
172965,2010-03-01,New York,United States,6.715
172966,2010-04-01,New York,United States,12.076
172967,2010-05-01,New York,United States,17.119
172968,2010-06-01,New York,United States,21.943
172969,2010-07-01,New York,United States,24.789
172970,2010-08-01,New York,United States,22.67
172971,2010-09-01,New York,United States,19.172
172972,2010-10-01,New York,United States,11.911
172973,2010-11-01,New York,United States,5.876
172974,2010-12-01,New York,United States,-2.165
172975,2011-01-01,New York,United States,-4.463
172976,2011-02-01,New York,United States,-1.2440000000000002
172977,2011-03-01,New York,United States,3.4739999999999998
172978,2011-04-01,New York,United States,10.555
172979,2011-05-01,New York,United States,16.917
172980,2011-06-01,New York,United States,21.032
172981,2011-07-01,New York,United States,24.564
172982,2011-08-01,New York,United States,22.13
172983,2011-09-01,New York,United States,19.301
172984,2011-10-01,New York,United States,12.001
172985,2011-11-01,New York,United States,8.013
172986,2011-12-01,New York,United States,2.987
172987,2012-01-01,New York,United States,-0.04100000000000037
172988,2012-02-01,New York,United States,2.185
172989,2012-03-01,New York,United States,8.734
172990,2012-04-01,New York,United States,10.324000000000002
172991,2012-05-01,New York,United States,17.779
172992,2012-06-01,New York,United States,20.165
172993,2012-07-01,New York,United States,24.479
172994,2012-08-01,New York,United States,22.731
172995,2012-09-01,New York,United States,18.177
172996,2012-10-01,New York,United States,12.436
172997,2012-11-01,New York,United States,4.103
172998,2012-12-01,New York,United States,2.5860000000000003
172999,2013-01-01,New York,United States,-0.968
173000,2013-02-01,New York,United States,-1.3650000000000002
173001,2013-03-01,New York,United States,2.518
173002,2013-04-01,New York,United States,9.723
173003,2013-05-01,New York,United States,15.544
173004,2013-06-01,New York,United States,20.892
173005,2013-07-01,New York,United States,24.722
173006,2013-08-01,New York,United States,21.001
173007,2013-09-01,New York,United States,17.407999999999998
